"p_playlistid","p_playlistname","p_author_userid","p_timecreated"
934,"playlistName934",3288,"2025-03-21 11:05:01.483558"
935,"playlistName935",2132,"2025-03-21 11:05:01.483558"
936,"playlistName936",7249,"2025-03-21 11:05:01.483558"
937,"playlistName937",7624,"2025-03-21 11:05:01.483558"
938,"playlistName938",2185,"2025-03-21 11:05:01.483558"
939,"playlistName939",3940,"2025-03-21 11:05:01.483558"
940,"playlistName940",5919,"2025-03-21 11:05:01.483558"
941,"playlistName941",723,"2025-03-21 11:05:01.483558"
942,"playlistName942",6367,"2025-03-21 11:05:01.483558"
943,"playlistName943",8987,"2025-03-21 11:05:01.483558"
944,"playlistName944",3388,"2025-03-21 11:05:01.483558"
945,"playlistName945",8101,"2025-03-21 11:05:01.483558"
946,"playlistName946",9468,"2025-03-21 11:05:01.483558"
947,"playlistName947",8685,"2025-03-21 11:05:01.483558"
948,"playlistName948",4361,"2025-03-21 11:05:01.483558"
949,"playlistName949",1791,"2025-03-21 11:05:01.483558"
950,"playlistName950",188,"2025-03-21 11:05:01.483558"
951,"playlistName951",5060,"2025-03-21 11:05:01.483558"
952,"playlistName952",824,"2025-03-21 11:05:01.483558"
953,"playlistName953",1432,"2025-03-21 11:05:01.483558"
954,"playlistName954",4759,"2025-03-21 11:05:01.483558"
955,"playlistName955",9724,"2025-03-21 11:05:01.483558"
956,"playlistName956",692,"2025-03-21 11:05:01.483558"
957,"playlistName957",3060,"2025-03-21 11:05:01.483558"
958,"playlistName958",268,"2025-03-21 11:05:01.483558"
959,"playlistName959",247,"2025-03-21 11:05:01.483558"
960,"playlistName960",1068,"2025-03-21 11:05:01.483558"
961,"playlistName961",3621,"2025-03-21 11:05:01.483558"
962,"playlistName962",162,"2025-03-21 11:05:01.483558"
963,"playlistName963",3390,"2025-03-21 11:05:01.483558"
964,"playlistName964",3981,"2025-03-21 11:05:01.483558"
965,"playlistName965",3676,"2025-03-21 11:05:01.483558"
966,"playlistName966",5744,"2025-03-21 11:05:01.483558"
967,"playlistName967",2456,"2025-03-21 11:05:01.483558"
968,"playlistName968",4751,"2025-03-21 11:05:01.483558"
969,"playlistName969",170,"2025-03-21 11:05:01.483558"
970,"playlistName970",3288,"2025-03-21 11:05:01.483558"
971,"playlistName971",2004,"2025-03-21 11:05:01.483558"
972,"playlistName972",9513,"2025-03-21 11:05:01.483558"
973,"playlistName973",4057,"2025-03-21 11:05:01.483558"
974,"playlistName974",956,"2025-03-21 11:05:01.483558"
975,"playlistName975",7570,"2025-03-21 11:05:01.483558"
976,"playlistName976",4287,"2025-03-21 11:05:01.483558"
977,"playlistName977",7036,"2025-03-21 11:05:01.483558"
978,"playlistName978",8894,"2025-03-21 11:05:01.483558"
979,"playlistName979",6616,"2025-03-21 11:05:01.483558"
980,"playlistName980",2634,"2025-03-21 11:05:01.483558"
981,"playlistName981",3665,"2025-03-21 11:05:01.483558"
982,"playlistName982",2655,"2025-03-21 11:05:01.483558"
983,"playlistName983",7873,"2025-03-21 11:05:01.483558"
984,"playlistName984",9274,"2025-03-21 11:05:01.483558"
985,"playlistName985",1770,"2025-03-21 11:05:01.483558"
986,"playlistName986",3356,"2025-03-21 11:05:01.483558"
987,"playlistName987",709,"2025-03-21 11:05:01.483558"
988,"playlistName988",399,"2025-03-21 11:05:01.483558"
989,"playlistName989",2187,"2025-03-21 11:05:01.483558"
990,"playlistName990",2063,"2025-03-21 11:05:01.483558"
991,"playlistName991",7075,"2025-03-21 11:05:01.483558"
992,"playlistName992",1749,"2025-03-21 11:05:01.483558"
993,"playlistName993",9853,"2025-03-21 11:05:01.483558"
994,"playlistName994",5426,"2025-03-21 11:05:01.483558"
995,"playlistName995",6135,"2025-03-21 11:05:01.483558"
996,"playlistName996",1515,"2025-03-21 11:05:01.483558"
997,"playlistName997",3562,"2025-03-21 11:05:01.483558"
998,"playlistName998",8876,"2025-03-21 11:05:01.483558"
999,"playlistName999",6056,"2025-03-21 11:05:01.483558"
1007,"my new playlist",10008,"2025-04-28 17:08:46.266639"
1016,"this is cool",10008,"2025-04-30 14:59:25.712792"
1020,"Foreigner Hits",10008,"2025-05-02 11:02:45.868314"
